Year,HCPCS Code,NPI_DOC,SRVS_ASC_PHY,SRVS_IP_PHY,SRVS_OFF,SRVS_OP_PHY,ALWD_ASC_PHY,ALWD_IP_PHY,ALWD_OFF,ALWD_OP_PHY,PAID_ASC_PHY,PAID_IP_PHY,PAID_OFF,PAID_OP_PHY
2020,93010,1407843287,,,2,,,,8.43,,,,6.27,
2021,93010,1407843287,,,3,,,,16.26,,,,13,
2019,93010,1215904495,,188,,,,16.88,,,,13.24,,
2020,93010,1306104765,,16,,3,,168.6,,16.86,,135.04,,13.5
2021,93010,1306104765,,11,,3,,81.3,,16.26,,65.7,,13.14
2020,93010,1679576565,,,2,24,,,8.43,179.34,,,6.74,142.45
2019,93010,1679576565,,,,7,,,,42.85,,,,33.6
2020,93010,1710143458,,600,,159,,5063.74,,1311.75,,4088.87,,1059.23
2019,93010,1710143458,,726,,300,,6153.4,,2461.98,,4911.36,,1958.12
2021,93010,1710143458,,143,,37,,1118.53,,269.12,,904.2,,219.2
2020,93010,1528218286,,,,2,,,,8.69,,,,0
2020,93010,1417974155,,256,,630,,2110.68,,4821.96,,1563.15,,3433.76
2019,93010,1417974155,,456,,1067,,3582.26,,8638.56,,2630.9,,6298.09
2021,93010,1417974155,,298,,624,,2315.7,,4814,,1563.76,,3187.61
2021,93010,1972600823,,154,2,124,,1177.51,8.05,986.52,,943.4,6.45,770.95
2020,93010,1851378889,,359,,143,,2984.22,,1146.48,,2368.41,,908.45
2019,93010,1851378889,,540,,157,,4388.8,,1257.56,,3437.2,,979.45
2021,93010,1851378889,,440,,181,,3471.51,,1390.23,,2822.92,,1126.2
2020,93010,1841288453,,16,,4,,143.31,,25.29,,114.33,,20.22
2019,93010,1841288453,,17,2,3,,135.04,8.57,16.88,,105.76,6.72,13.22
2021,93010,1841288453,,2,,5,,16.26,,32.52,,13,,26
2020,93010,1326142639,,86,,66,,708.12,,413.07,,546.98,,326.1
2019,93010,1326142639,,47,,62,,514.84,,438.88,,403.39,,343.82
2021,93010,1326142639,,47,,35,,373.98,,211.38,,279.5,,169
2020,93010,1093960692,,2238,4,1022,,19214.08,26.49,8715.21,,14996.38,13.98,6527.15
2019,93010,1093960692,,1941,2,1357,,16802.99,8.77,11593.94,,13016.82,6.88,8592.26
2021,93010,1093960692,,732,12,316,,6141.85,85.9,2585.59,,4685.07,34.35,1764.89
